Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-03-31 00:00:00-05:00,16.892655962760166,17.323262238305464,14.84851048997611,14.972248077392578,15161300,0.0,0.0
2006-04-03 00:00:00-04:00,14.848520673554518,14.848520673554518,13.85861929531755,14.353569984436035,4799700,0.0,0.0
2006-04-04 00:00:00-04:00,14.353568994463258,14.353568994463258,14.08134651184082,14.08134651184082,889800,0.0,0.0
2006-04-05 00:00:00-04:00,14.106087410968284,14.27932025219229,14.106087410968284,14.229825019836426,364900,0.0,0.0
2006-04-06 00:00:00-04:00,14.22982871199316,14.922759312638085,14.219929474144866,14.803971290588379,1299500,0.0,0.0
2006-04-07 00:00:00-04:00,14.823771157840143,14.823771157840143,14.40306295022715,14.576295852661133,503500,0.0,0.0
2006-04-10 00:00:00-04:00,14.5763007013214,14.625795023586296,13.660641578765558,13.848722457885742,695000,0.0,0.0
2006-04-11 00:00:00-04:00,13.848715560805946,13.848715560805946,13.165684246857609,13.304269790649414,1043400,0.0,0.0
2006-04-12 00:00:00-04:00,13.338917118394642,13.338917118394642,12.967704222083585,13.116189002990723,566100,0.0,0.0
2006-04-13 00:00:00-04:00,13.07164672239039,13.314172430043373,13.07164672239039,13.160737991333008,310100,0.0,0.0
2006-04-17 00:00:00-04:00,13.408207658015025,13.561642031946992,13.239924430847168,13.239924430847168,180800,0.0,0.0
2006-04-18 00:00:00-04:00,13.279522641841796,13.408209892536483,13.220128163043011,13.304269790649414,301300,0.0,0.0
2006-04-19 00:00:00-04:00,13.289419598552794,13.635884342623086,13.289419598552794,13.630935668945312,609300,0.0,0.0
2006-04-20 00:00:00-04:00,13.754678966487237,14.205083980821453,13.734880487418575,14.007102966308594,886500,0.0,0.0
2006-04-21 00:00:00-04:00,14.007102408132132,14.20508341475554,14.002153732605612,14.06154727935791,899600,0.0,0.0
2006-04-24 00:00:00-04:00,14.09618823427335,14.09618823427335,13.957602715952602,14.031845092773438,128100,0.0,0.0
2006-04-25 00:00:00-04:00,14.021950431777435,14.026900051052591,13.784374370830056,13.95760726928711,479200,0.0,0.0
2006-04-26 00:00:00-04:00,14.526794338489282,14.601036709219091,13.98234871306574,14.536693572998047,1608600,0.0,0.0
2006-04-27 00:00:00-04:00,14.551541673483783,14.774269732666673,14.551541673483783,14.709925651550293,463600,0.0,0.0
2006-04-28 00:00:00-04:00,14.77427308854678,15.318718844849956,14.769323470102556,15.135586738586426,350100,0.0,0.0
2006-05-01 00:00:00-04:00,15.194976438130965,15.397906010321234,15.036591529846191,15.036591529846191,755000,0.0,0.0
2006-05-02 00:00:00-04:00,15.04154423185275,15.066292321368346,14.744574710010289,14.823766708374023,419700,0.0,0.0
2006-05-03 00:00:00-04:00,14.838614560169486,14.848513795937118,14.799018561142043,14.828715324401855,338900,0.0,0.0
2006-05-04 00:00:00-04:00,14.828715276236265,14.84851374770722,14.80891774880839,14.833664894104004,125400,0.0,0.0
2006-05-05 00:00:00-04:00,14.799018618858428,14.848513853846534,14.794069000955309,14.823766708374023,660900,0.0,0.0
2006-05-08 00:00:00-04:00,14.838614618040294,14.848513853846534,14.754473001773441,14.823766708374023,128000,0.0,0.0
2006-05-09 00:00:00-04:00,14.823766244792788,14.823766244792788,14.724775777912289,14.774271011352539,594900,0.0,0.0
2006-05-10 00:00:00-04:00,14.799015045166016,14.828711801370419,14.724772682633578,14.799015045166016,253900,0.0,0.0
2006-05-11 00:00:00-04:00,14.823766244792788,14.942554238623552,14.749522922610884,14.774271011352539,866700,0.0,0.0
2006-05-12 00:00:00-04:00,14.823766708374023,14.86831232545901,14.749523383870322,14.823766708374023,496600,0.0,0.0
2006-05-15 00:00:00-04:00,15.219723024906976,15.219723024906976,14.675277459597666,14.799015045166016,272600,0.0,0.0
2006-05-16 00:00:00-04:00,14.848513795937118,14.848513795937118,14.74952332634697,14.828715324401855,349800,0.0,0.0
2006-05-17 00:00:00-04:00,14.84851691686243,14.84851691686243,14.724779275888576,14.803971290588379,428200,0.0,0.0
2006-05-18 00:00:00-04:00,14.799015045166016,14.848510268201927,14.675277459597666,14.799015045166016,216900,0.0,0.0
2006-05-19 00:00:00-04:00,14.799019256693269,14.799019256693269,14.36346324692035,14.378311157226562,135400,0.0,0.0
2006-05-22 00:00:00-04:00,14.353568797662655,14.35851841742982,13.784375741046789,14.007102966308594,324600,0.0,0.0
2006-05-23 00:00:00-04:00,14.056591124979834,14.229823953218919,13.814065543062302,13.85366153717041,253000,0.0,0.0
2006-05-24 00:00:00-04:00,13.809116191706496,13.809116191706496,13.437903385778672,13.729924201965332,945900,0.0,0.0
2006-05-25 00:00:00-04:00,13.660633312490623,13.858613313880289,13.512147603416038,13.828916549682617,283600,0.0,0.0
2006-05-26 00:00:00-04:00,13.843766723197863,13.858615579746024,13.794272422790527,13.794272422790527,195700,0.0,0.0
2006-05-30 00:00:00-04:00,13.784371618962004,13.858614005181128,13.734876380134867,13.759623527526855,66700,0.0,0.0
2006-05-31 00:00:00-04:00,13.78437112436998,13.90315912686702,13.78437112436998,13.809118270874023,200600,0.0,0.0
2006-06-01 00:00:00-04:00,13.809121697147944,13.809121697147944,13.655687273858344,13.754677772521973,234000,0.0,0.0
2006-06-02 00:00:00-04:00,13.79921669125565,13.858611154439295,13.79921669125565,13.85366153717041,178200,0.0,0.0
2006-06-05 00:00:00-04:00,13.828916791805831,13.853663938396656,13.754674407990223,13.804168701171875,184700,0.0,0.0
2006-06-06 00:00:00-04:00,13.784367332615357,13.784367332615357,13.710124969482422,13.710124969482422,91000,0.0,0.0
2006-06-07 00:00:00-04:00,13.660633678436275,13.695280061602196,13.314167958690781,13.601239204406738,177500,0.0,0.0
2006-06-08 00:00:00-04:00,13.611140308811768,13.724978710278718,13.28942263577578,13.418109893798828,533100,0.0,0.0
2006-06-09 00:00:00-04:00,13.388409834369128,13.522046687824364,13.324066688655366,13.462653160095215,255700,0.0,0.0
2006-06-12 00:00:00-04:00,13.462657184910851,13.700233254939736,13.338919530432051,13.348817825317383,66900,0.0,0.0
2006-06-13 00:00:00-04:00,13.353765597324852,13.358715216104445,12.967704772949219,12.967704772949219,393800,0.0,0.0
2006-06-14 00:00:00-04:00,12.967703810353461,13.051845435274165,12.819218090117594,12.873662948608398,393500,0.0,0.0
2006-06-15 00:00:00-04:00,12.893456309929467,13.007295608520508,12.779617955381303,13.007295608520508,303800,0.0,0.0
2006-06-16 00:00:00-04:00,13.116189710129323,13.116189710129323,12.86376481374353,13.046896934509277,133900,0.0,0.0
2006-06-19 00:00:00-04:00,13.096392083124677,13.215181054801311,12.967705761221087,13.056796073913574,72600,0.0,0.0
2006-06-20 00:00:00-04:00,13.091442559991668,13.18548248574937,12.972653596009783,13.046896934509277,774600,0.0,0.0
2006-06-21 00:00:00-04:00,13.04194101539111,13.29436578983591,12.87860744887304,13.20527458190918,190500,0.0,0.0
2006-06-22 00:00:00-04:00,13.190431953771332,13.205280810110109,12.873663904223479,12.967704772949219,235800,0.0,0.0
2006-06-23 00:00:00-04:00,12.992444750708076,13.111232703715137,12.893454317847493,13.017191886901855,108200,0.0,0.0
2006-06-26 00:00:00-04:00,13.0271025431532,13.145890600331803,13.002355385257326,13.111244201660156,80600,0.0,0.0
